City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
400,Oparino,RU,55.49,scattered clouds,59.8518,48.2783,"Gostinitsa ""Oparino"""
407,Zhanaozen,KZ,67.51,clear sky,43.3,52.8,K.korabay 28A
413,Sicamous,CA,62.19,overcast clouds,50.8331,-118.9856,Best Western Sicamous Inn
417,Rennes,FR,60.19,clear sky,48.1667,-1.6667,Appart'City Rennes Saint-Grégoire - Appart Hôtel
422,Kushiro,JP,61.63,scattered clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
429,San Lorenzo,PY,67.14,overcast clouds,-25.3333,-57.5333,Hotel del Sur
430,Berezovka,BY,55.02,overcast clouds,53.7214,25.4993,Nad Nemanom Usad'ba
431,Huanan,CN,62.24,clear sky,46.2167,130.5167,Xilong Hotel
434,Valpacos,PT,62.24,scattered clouds,41.6075,-7.3109,Hotel Candido
439,Ketchikan,US,54.07,light rain,55.3422,-131.6461,Snows Cove Lodge
440,Coquimbo,CL,55.13,overcast clouds,-29.9533,-71.3436,Punto de encuentro
441,Halifax,CA,63.39,overcast clouds,44.6453,-63.5724,Hotel Halifax
447,Moranbah,AU,60.31,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
453,Ilebo,CD,69.82,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
455,Montepuez,MZ,60.51,few clouds,-13.1256,38.9997,PembaAparthotel
457,Carandai,BR,61.93,overcast clouds,-20.9536,-43.8064,Pousada Portal da Natureza
459,Abja-Paluoja,EE,53.78,scattered clouds,58.1253,25.3497,Mulgi Tavern
460,Kigorobya,UG,65.25,few clouds,1.6162,31.3089,Palace guest house kigorobya
461,Richards Bay,ZA,58.06,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
464,Flin Flon,CA,58.84,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
466,Vila Vicosa,PT,69.03,clear sky,38.7777,-7.4179,Pousada Convento Vila Viçosa
471,Muros,ES,60.1,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
473,Ashibetsu,JP,62.1,overcast clouds,43.5097,142.1856,Kamiashibetsu Park
475,Sergach,RU,54.86,broken clouds,55.5308,45.4661,"Medvezhiy Ugol, Gostinitsa"
477,Krasnoborsk,RU,55.65,overcast clouds,61.5598,45.934,"Baza Otdykha ""Medvezhiy Ugol"""
478,Kaeo,NZ,60.33,moderate rain,-35.1,173.7833,Bushido Lodge
479,Madikeri,IN,63.66,overcast clouds,12.4167,75.7333,Club Mahindra Madikeri Resort In Coorg
481,Alberton,CA,51.64,overcast clouds,46.8168,-64.0654,La Petite France B&B
485,Zhigansk,RU,52.45,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
487,Alcaniz,ES,66.09,clear sky,41.05,-0.1333,Hotel Ciudad de Alcañiz
488,North Bend,US,67.24,scattered clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
489,Oulainen,FI,55.81,scattered clouds,64.2667,24.8,Hotelli Ravintola Kasari
490,La Grande,US,60.01,overcast clouds,45.3246,-118.0877,Travelodge by Wyndham La Grande
491,Gat,IL,68.68,clear sky,31.61,34.7642,OlusHome
492,Jumla,NP,54.36,few clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
496,Mount Gambier,AU,55.31,overcast clouds,-37.8333,140.7667,Commodore on the Park
498,Aleksandrovskiy Zavod,RU,65.07,clear sky,50.9237,117.9374,Druzhba
502,Sayyan,YE,63.97,few clouds,15.1718,44.3244,متنزه و بحيرة سيان
503,Masasi,TZ,61.2,few clouds,-10.7167,38.8,Rose Royal Hotel
504,Stary Sacz,PL,58.59,scattered clouds,49.5636,20.635,Pokoje gościnne Brzezna
507,Townsville,AU,68.88,broken clouds,-19.25,146.8,Rydges Southbank Townsville
514,Bilibino,RU,66.9,clear sky,68.0546,166.4372,Gostinitsa Severyanka
516,Butembo,CD,57.15,overcast clouds,0.15,29.2833,Hotel Butembo
520,Rakiv Lis,UA,55.36,scattered clouds,51.6217,24.9243,Hotelʹ Turiya
523,Ahipara,NZ,61.75,moderate rain,-35.1667,173.1667,Ahipara Holiday Park
524,Vapnyarka,UA,52.88,scattered clouds,48.5348,28.7436,Комнаты отдыха ЖД вокзал Вапнярка
525,Miranda,CO,69.42,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
532,Kamiiso,JP,63.84,overcast clouds,41.8167,140.65,ビジネス民宿あべ
534,Ust-Nera,RU,63.41,overcast clouds,64.5667,143.2,Hotel Ust-Nera
535,Areosa,PT,65.32,clear sky,41.7178,-8.8571,Hotel Flôr de Sal
536,San Quintin,MX,65.57,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
538,North Vanlaiphai,IN,60.71,overcast clouds,23.1333,93.0667,VL Lungmuana In
539,Rocky Mountain House,CA,60.84,overcast clouds,52.3668,-114.9188,Walking Eagle Inn & Lodge
541,Dovolnoye,RU,52.9,clear sky,54.4958,79.6671,Gostinitsa
545,Mingoyo,TZ,65.71,clear sky,-10.1,39.6333,CHIMBENDE LODGE
548,Kaberamaido,UG,67.01,scattered clouds,1.7389,33.1594,"Little Orchard, Kaberamaido"
549,Port Shepstone,ZA,60.06,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
550,Nambucca Heads,AU,57.2,clear sky,-30.65,153.0,Marcel Towers Holiday Apartments
