City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Kingman,US,35.1894,-114.053,96.3,3,1,11.99,clear sky
117,Fortuna,US,40.5982,-124.1573,70.2,60,20,5.01,few clouds
118,Namatanai,PG,-3.6667,152.4333,82.0,77,95,2.73,moderate rain
119,Airai,TL,-8.9266,125.4092,59.95,72,47,2.55,scattered clouds
120,Beni,CD,0.5,29.4667,62.2,98,97,1.5,overcast clouds
121,Asekeyevo,RU,53.5742,52.7972,55.44,75,10,4.03,clear sky
122,Souillac,MU,-20.5167,57.5167,71.37,85,60,12.37,light rain
123,Cape Town,ZA,-33.9258,18.4232,71.35,22,12,13.22,few clouds
124,Lebu,CL,-37.6167,-73.65,48.79,79,91,4.21,overcast clouds
125,Labytnangi,RU,66.6572,66.4183,34.81,70,6,5.46,clear sky
126,Nome,US,64.5011,-165.4064,37.17,75,90,11.5,overcast clouds
127,San Cristobal,VE,7.7669,-72.225,67.24,98,100,2.59,overcast clouds
128,Ponta Do Sol,PT,32.6667,-17.1,66.83,73,4,5.88,clear sky
129,Srandakan,ID,-7.9386,110.2506,75.67,92,20,3.06,few clouds
130,Palana,RU,59.1167,159.9667,44.17,75,100,2.64,overcast clouds
131,Olinda,BR,-8.0089,-34.8553,78.53,69,40,11.25,scattered clouds
132,Port-Gentil,GA,-0.7193,8.7815,78.19,88,67,7.99,broken clouds
133,Bentiu,SS,9.2333,29.8333,78.28,73,46,1.21,scattered clouds
134,Comodoro Rivadavia,AR,-45.8667,-67.5,50.13,52,69,15.99,broken clouds
135,Raudeberg,NO,61.9875,5.1352,52.47,95,8,7.18,clear sky
136,Cidreira,BR,-30.1811,-50.2056,63.05,76,100,11.05,moderate rain
137,Ponte San Nicolo,IT,45.3705,11.9211,68.77,87,97,4.0,overcast clouds
138,Bratsk,RU,56.1325,101.6142,48.69,80,20,7.0,few clouds
139,Inirida,CO,3.8653,-67.9239,75.2,95,73,2.24,broken clouds
140,Perth,AU,-31.9333,115.8333,52.05,96,0,8.7,clear sky
141,Provideniya,RU,64.3833,-173.3,42.91,61,75,4.47,broken clouds
142,Hobart,AU,-42.8794,147.3294,58.26,74,75,1.99,broken clouds
143,Champerico,GT,14.3,-91.9167,87.35,69,42,7.05,scattered clouds
144,Hellin,ES,38.5106,-1.701,64.18,78,0,2.82,clear sky
