City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Chuy,UY,2021-06-06 00:38:08,-33.6971,-53.4616,55.62,88,100,10.22
130,Avera,US,2021-06-06 00:38:09,33.194,-82.5271,77.05,95,100,6.89
131,Bandarbeyla,SO,2021-06-06 00:38:09,9.4942,50.8122,79.36,79,40,19.39
132,Pilar,BR,2021-06-06 00:38:09,-9.5972,-35.9567,75.13,95,14,1.97
133,Buenos Aires,AR,2021-06-06 00:36:29,-34.6132,-58.3772,56.97,53,0,4.61
134,Port Augusta,AU,2021-06-06 00:38:10,-32.5,137.7667,57.99,77,100,10.36
135,Hualmay,PE,2021-06-06 00:38:10,-11.0964,-77.6139,64.2,83,14,9.22
136,Aykhal,RU,2021-06-06 00:38:10,66.0,111.5,45.88,43,62,15.82
137,Arraial Do Cabo,BR,2021-06-06 00:38:11,-22.9661,-42.0278,73.4,87,0,21.77
138,Port Elizabeth,ZA,2021-06-06 00:33:23,-33.918,25.5701,52.09,87,0,5.75
139,Ruwi,OM,2021-06-06 00:38:11,23.5996,58.5507,87.49,74,0,6.04
140,Khatanga,RU,2021-06-06 00:38:11,71.9667,102.5,35.51,77,100,12.01
141,Vestmannaeyjar,IS,2021-06-06 00:38:11,63.4427,-20.2734,46.6,91,98,17.96
142,Kokoda,PG,2021-06-06 00:38:12,-8.8785,147.7407,84.47,71,100,3.74
143,Bulihan,PH,2021-06-06 00:38:12,14.2697,120.9955,88.0,70,40,8.05
144,Flagstaff,US,2021-06-06 00:36:50,35.1981,-111.6513,86.32,16,1,1.99
145,Lebu,CL,2021-06-06 00:38:13,-37.6167,-73.65,49.68,77,100,12.97
146,George Town,MY,2021-06-06 00:33:33,5.4112,100.3354,80.53,90,20,4.61
147,Bonavista,CA,2021-06-06 00:38:13,48.6499,-53.1147,50.0,87,100,5.75
148,Nevsehir,TR,2021-06-06 00:38:13,38.9167,34.6667,49.21,66,40,3.31
149,Kalemie,CD,2021-06-06 00:38:14,-5.9475,29.1947,73.89,75,100,15.97
150,Along,IN,2021-06-06 00:38:14,28.1667,94.7667,70.88,97,100,1.66
151,Vastse-Kuuste,EE,2021-06-06 00:38:14,58.1669,26.9343,56.8,80,20,4.63
152,Keuruu,FI,2021-06-06 00:38:15,62.2667,24.7,59.56,73,97,3.29
153,Lufilufi,WS,2021-06-06 00:38:15,-13.8745,-171.5986,82.4,89,75,5.75
154,Baicheng,CN,2021-06-06 00:38:15,45.6167,122.8167,67.91,51,8,5.5
155,Butaritari,KI,2021-06-06 00:38:16,3.0707,172.7902,82.29,74,96,7.25
156,Lircay,PE,2021-06-06 00:38:16,-12.9896,-74.7205,68.0,37,0,4.61
157,Esperance,AU,2021-06-06 00:38:16,-33.8667,121.9,53.44,59,11,16.87
158,Taoudenni,ML,2021-06-06 00:38:17,22.6783,-3.9836,99.82,8,16,9.6
159,Poum,NC,2021-06-06 00:38:17,-20.2333,164.0167,73.2,63,100,24.29
160,Norman Wells,CA,2021-06-06 00:38:17,65.282,-126.8329,51.8,66,75,13.8
161,Punta Cardon,VE,2021-06-06 00:38:18,11.6581,-70.215,80.31,82,100,28.61
162,Eureka,US,2021-06-06 00:38:18,40.8021,-124.1637,62.01,71,88,13.0
163,Saskylakh,RU,2021-06-06 00:38:19,71.9167,114.0833,40.59,61,97,8.12
164,Souillac,MU,2021-06-06 00:38:19,-20.5167,57.5167,70.18,88,40,2.75
165,Novyy Urgal,RU,2021-06-06 00:38:20,51.0736,132.5642,64.11,40,0,1.43
166,Torbay,CA,2021-06-06 00:35:32,47.6666,-52.7314,54.28,96,90,12.66
167,Abu Samrah,SY,2021-06-06 00:38:20,35.3029,37.1841,64.38,60,0,6.71
168,Yorosso,ML,2021-06-06 00:38:21,12.3536,-4.7761,85.48,46,40,9.82
169,Tiksi,RU,2021-06-06 00:38:21,71.6872,128.8694,42.06,60,85,7.0
170,Auki,SB,2021-06-06 00:38:21,-8.7676,160.7034,85.68,66,18,4.72
171,Port Keats,AU,2021-06-06 00:38:21,-14.25,129.55,79.25,27,99,10.63
172,Acapulco,MX,2021-06-06 00:34:04,16.8634,-99.8901,86.0,74,75,8.05
173,Alugan,PH,2021-06-06 00:38:22,12.2188,125.4808,84.69,69,37,3.06
174,Shenzhen,CN,2021-06-06 00:36:27,22.5455,114.0683,85.86,81,1,1.25
175,Bow Island,CA,2021-06-06 00:38:22,49.8668,-111.3684,73.69,17,28,17.27
176,Aurora,US,2021-06-06 00:33:46,39.7294,-104.8319,85.71,25,40,5.99
177,Dingle,PH,2021-06-06 00:38:22,10.9995,122.6711,82.72,77,98,8.52
178,Kyren,RU,2021-06-06 00:38:23,51.6828,102.1408,51.6,96,100,6.93
179,Paamiut,GL,2021-06-06 00:38:23,61.994,-49.6678,39.6,94,100,10.98
180,Kavaratti,IN,2021-06-06 00:38:23,10.5669,72.642,82.83,76,99,14.09
181,Cidreira,BR,2021-06-06 00:38:25,-30.1811,-50.2056,66.58,88,100,15.14
182,Isangel,VU,2021-06-06 00:38:25,-19.55,169.2667,80.71,78,75,12.41
183,Ambanja,MG,2021-06-06 00:38:25,-13.6833,48.45,70.36,93,98,3.44
184,Araouane,ML,2021-06-06 00:38:26,18.9048,-3.5265,96.26,7,3,8.97
185,Westport,US,2021-06-06 00:38:26,41.1415,-73.3579,88.11,62,1,10.31
186,Bathsheba,BB,2021-06-06 00:38:26,13.2167,-59.5167,81.21,69,40,16.82
187,Foz Do Iguacu,BR,2021-06-06 00:38:26,-25.5478,-54.5881,74.32,83,0,3.44
188,Lac Du Bonnet,CA,2021-06-06 00:38:27,50.2536,-96.0612,81.61,58,0,7.7
189,Great Falls,US,2021-06-06 00:36:35,47.5002,-111.3008,77.45,17,1,27.63
190,Kankon,IN,2021-06-06 00:38:27,15.0167,74.0167,76.8,84,99,7.72
191,Lafia,NG,2021-06-06 00:38:28,8.4833,8.5167,74.55,84,61,2.89
192,Saiha,IN,2021-06-06 00:38:28,22.4833,92.9667,75.22,93,97,0.36
193,Sitka,US,2021-06-06 00:38:28,57.0531,-135.33,55.29,71,75,6.91
194,Santa Cruz Del Sur,CU,2021-06-06 00:38:29,20.7147,-77.9956,78.66,83,25,10.47
195,Aloleng,PH,2021-06-06 00:38:29,16.1307,119.7824,84.67,72,100,9.75
196,Amalner,IN,2021-06-06 00:38:29,21.05,75.0667,82.15,65,99,1.43
197,Mahanoro,MG,2021-06-06 00:38:29,-19.9,48.8,67.96,92,11,10.6
198,Puerto Escondido,MX,2021-06-06 00:38:30,15.85,-97.0667,88.63,66,40,11.5
199,Timmins,CA,2021-06-06 00:38:30,48.4669,-81.3331,66.02,72,40,1.74
200,San Cristobal,VE,2021-06-06 00:38:30,7.7669,-72.225,69.98,99,100,3.09
201,Beringovskiy,RU,2021-06-06 00:38:30,63.05,179.3167,38.41,88,98,2.42
202,Nalut,LY,2021-06-06 00:38:31,30.3333,10.85,78.84,22,100,14.09
203,Businga,CD,2021-06-06 00:38:31,3.3333,20.8833,69.48,99,100,1.12
204,Kloulklubed,PW,2021-06-06 00:38:31,7.0419,134.2556,84.7,80,100,5.5
205,Gat,IL,2021-06-06 00:38:32,31.61,34.7642,68.4,100,0,1.81
206,Cabo San Lucas,MX,2021-06-06 00:38:32,22.8909,-109.9124,97.81,29,1,18.41
207,Medina,SA,2021-06-06 00:33:38,24.4686,39.6142,95.43,8,0,4.23
208,Firozpur Jhirka,IN,2021-06-06 00:38:32,27.8,76.95,89.89,37,0,5.97
209,Tekkali,IN,2021-06-06 00:38:32,18.6167,84.2333,84.61,75,42,9.15
210,Andenes,NO,2021-06-06 00:38:33,69.3143,16.1194,49.46,87,90,9.22
211,Chikmagalur,IN,2021-06-06 00:38:33,13.3167,75.7833,65.89,95,86,3.85
212,Te Anau,NZ,2021-06-06 00:33:33,-45.4167,167.7167,47.44,81,2,0.83
213,Saldanha,ZA,2021-06-06 00:38:33,-33.0117,17.9442,50.05,35,16,11.41
214,Ponta Do Sol,PT,2021-06-06 00:38:34,32.6667,-17.1,66.83,74,58,4.36
215,Katsuura,JP,2021-06-06 00:38:34,35.1333,140.3,73.44,93,100,11.01
216,Stonehaven,GB,2021-06-06 00:38:34,56.9637,-2.2118,61.32,91,4,5.66
217,Malyye Derbety,RU,2021-06-06 00:38:34,47.9547,44.6808,57.07,84,98,5.39
218,Flin Flon,CA,2021-06-06 00:38:35,54.7682,-101.865,65.26,72,100,2.71
219,Alexandroupoli,GR,2021-06-06 00:38:35,40.8475,25.8744,59.32,67,0,2.1
220,General Roca,AR,2021-06-06 00:38:35,-39.0333,-67.5833,48.29,46,97,2.8
221,New Port Richey,US,2021-06-06 00:38:35,28.2442,-82.7193,84.22,83,100,1.01
222,Longyearbyen,SJ,2021-06-06 00:38:36,78.2186,15.6401,33.64,75,75,11.5
223,Poso,ID,2021-06-06 00:38:36,-1.3959,120.7524,84.9,65,55,2.86
224,Neuquen,AR,2021-06-06 00:34:02,-38.9516,-68.0591,49.66,39,100,5.26
225,Ganzhou,CN,2021-06-06 00:38:36,28.8184,115.4327,78.28,66,4,2.98
226,Georgiyevskoye,RU,2021-06-06 00:38:37,58.731,45.024,50.99,87,9,0.6
227,Belle Glade,US,2021-06-06 00:38:37,26.6845,-80.6676,82.42,71,100,12.06
228,Makurdi,NG,2021-06-06 00:38:37,7.7411,8.5121,75.63,87,100,4.07
229,Chihuahua,MX,2021-06-06 00:38:37,28.5,-106.0,90.43,19,100,8.1
230,Portland,US,2021-06-06 00:37:00,45.5234,-122.6762,65.32,54,75,3.0
231,Georgetown,MY,2021-06-06 00:38:38,5.4112,100.3354,80.89,90,20,4.61
232,Tasiilaq,GL,2021-06-06 00:38:38,65.6145,-37.6368,41.16,98,100,5.39
233,Mount Gambier,AU,2021-06-06 00:38:38,-37.8333,140.7667,58.91,94,90,16.11
234,Korla,CN,2021-06-06 00:38:39,41.7597,86.1469,74.48,36,97,16.35
235,Mayahi,NE,2021-06-06 00:38:39,13.9553,7.6712,85.48,35,18,2.53
236,Houma,US,2021-06-06 00:38:39,29.5958,-90.7195,78.01,86,75,9.22
237,Liverpool,GB,2021-06-06 00:34:03,53.4106,-2.9779,60.8,88,90,6.91
238,Touros,BR,2021-06-06 00:38:40,-5.1989,-35.4608,77.9,81,30,12.1
239,Grindavik,IS,2021-06-06 00:38:40,63.8424,-22.4338,49.95,93,75,19.57
240,Vostok,RU,2021-06-06 00:38:40,46.4856,135.8833,53.2,88,100,1.07
241,Gweta,BW,2021-06-06 00:38:40,-20.1833,25.2333,49.6,61,0,11.3
242,Constitucion,CL,2021-06-06 00:38:41,-35.3333,-72.4167,50.97,64,100,4.92
243,Entre Rios,BR,2021-06-06 00:36:19,-11.9419,-38.0844,68.43,96,32,3.65
244,Lewistown,US,2021-06-06 00:38:41,40.5992,-77.5714,84.06,50,1,0.0
245,Maningrida,AU,2021-06-06 00:38:41,-12.0667,134.2667,77.95,56,6,12.19
246,Sisimiut,GL,2021-06-06 00:38:42,66.9395,-53.6735,40.06,93,100,3.83
247,Muros,ES,2021-06-06 00:38:42,42.7762,-9.0603,59.09,83,12,9.13
248,Honningsvag,NO,2021-06-06 00:34:52,70.9821,25.9704,41.16,82,6,17.9
249,Simbahan,PH,2021-06-06 00:38:42,6.3032,120.5836,83.37,72,100,5.61
250,Woodburn,US,2021-06-06 00:38:43,45.1437,-122.8554,65.08,48,40,5.99
251,Nizwa,OM,2021-06-06 00:38:43,22.9333,57.5333,87.84,31,0,3.2
252,Caidian,CN,2021-06-06 00:38:43,30.5833,114.0333,80.73,50,0,5.86
253,Hurghada,EG,2021-06-06 00:35:06,27.2574,33.8129,77.04,23,0,11.5
254,Channel-Port Aux Basques,CA,2021-06-06 00:38:43,47.5702,-59.1367,50.27,97,100,14.38
255,Lagoa,PT,2021-06-06 00:38:44,39.05,-27.9833,62.87,85,93,7.05
256,Chalmette,US,2021-06-06 00:38:44,29.9427,-89.9634,78.01,88,90,3.0
257,Avallon,FR,2021-06-06 00:38:44,47.4833,3.9,55.99,97,100,2.75
258,Vardo,NO,2021-06-06 00:38:44,70.3705,31.1107,41.25,74,12,13.18
259,Huarmey,PE,2021-06-06 00:38:45,-10.0681,-78.1522,64.9,85,25,9.37
260,Erzin,TR,2021-06-06 00:38:45,36.9559,36.2,70.52,79,0,1.68
261,Kutum,SD,2021-06-06 00:38:45,14.2,24.6667,77.63,17,2,11.65
262,Sabha,LY,2021-06-06 00:38:46,27.0377,14.4283,77.5,17,0,10.96
263,Baruun-Urt,MN,2021-06-06 00:38:46,46.6806,113.2792,71.47,22,0,7.74
264,Coquimbo,CL,2021-06-06 00:38:46,-29.9533,-71.3436,56.93,88,90,1.43
265,Churapcha,RU,2021-06-06 00:38:46,62.0025,132.4325,71.73,49,100,7.47
266,Ola,RU,2021-06-06 00:38:47,59.5833,151.2833,42.82,88,100,17.78
267,Laguna,US,2021-06-06 00:38:47,38.421,-121.4238,97.61,30,1,4.0
268,Hanyang,CN,2021-06-06 00:38:47,32.1371,105.5126,74.48,51,100,1.5
269,Rio Grande,BR,2021-06-06 00:37:04,-32.035,-52.0986,59.95,95,100,7.63
270,Sira,IN,2021-06-06 00:38:48,13.7453,76.9092,73.69,84,96,4.34
271,Tautira,PF,2021-06-06 00:38:48,-17.7333,-149.15,82.42,81,17,15.93
272,Karpathos,GR,2021-06-06 00:38:48,35.507,27.2132,67.87,74,0,19.91
273,Berlevag,NO,2021-06-06 00:38:48,70.8578,29.0864,40.57,84,11,16.93
274,Christchurch,NZ,2021-06-06 00:37:29,-43.5333,172.6333,52.0,92,90,1.99
275,Cururupu,BR,2021-06-06 00:38:49,-1.8283,-44.8683,75.24,91,15,3.09
276,Imbituba,BR,2021-06-06 00:38:49,-28.24,-48.6703,69.69,78,63,7.9
277,Priargunsk,RU,2021-06-06 00:38:49,50.3691,119.1012,66.92,52,0,6.22
278,Nakusp,CA,2021-06-06 00:38:50,50.2499,-117.8023,56.48,67,83,9.22
279,Faanui,PF,2021-06-06 00:38:50,-16.4833,-151.75,80.76,73,13,10.54
280,Ovalle,CL,2021-06-06 00:38:50,-30.5983,-71.2003,62.08,73,100,1.01
281,Victoria,HK,2021-06-06 00:37:11,22.2855,114.1577,85.96,79,33,1.01
282,Lata,PT,2021-06-06 00:38:51,40.1629,-8.3327,58.93,93,1,0.65
283,Chornobay,UA,2021-06-06 00:38:51,49.6708,32.3239,53.01,89,19,6.42
284,Dalian,CN,2021-06-06 00:38:51,38.9122,121.6022,76.93,36,0,4.47
285,Shetpe,KZ,2021-06-06 00:38:51,44.1667,52.1167,67.42,74,100,8.46
286,Wagar,SD,2021-06-06 00:38:52,16.1525,36.2032,88.21,31,32,5.41
287,Igarka,RU,2021-06-06 00:38:52,67.4667,86.5833,32.67,86,100,14.18
288,Tuatapere,NZ,2021-06-06 00:38:52,-46.1333,167.6833,49.82,76,6,1.23
289,Takoradi,GH,2021-06-06 00:38:53,4.8845,-1.7554,78.19,86,54,6.17
290,Ilhabela,BR,2021-06-06 00:38:53,-23.7781,-45.3581,70.93,74,0,2.44
291,Kirovsk,UA,2021-06-06 00:38:53,48.6375,38.6428,51.4,96,94,5.68
292,Dire Dawa,ET,2021-06-06 00:38:53,9.5931,41.8661,70.09,67,1,16.51
293,Roma,US,2021-06-06 00:38:54,43.2128,-75.4557,80.74,54,40,4.61
294,Gwadar,PK,2021-06-06 00:38:54,25.1216,62.3254,83.34,75,66,10.58
295,Tessalit,ML,2021-06-06 00:38:54,20.1986,1.0114,93.49,10,0,8.59
